"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000228696",6.64799814520494,-0.476030251254265,0.696807847562345,-0.683158567917353,0.494506650071717,0.606648780091835,"ARL17A","51326"
"ENSG00000176681",14.6193918591324,-0.726525052830243,0.476949189960255,-1.52327557761611,0.127689774591706,0.196953626157254,"LRRC37A","9884"
"ENSG00000238083",34.9516584638045,0.0915429118492625,0.305896239860499,0.299261317795242,0.76474066679168,0.835674942327855,"LRRC37A2","474170"
"ENSG00000185829",14.1106659538662,0.850531932251139,0.491832247912098,1.72931306530179,0.0837530795307285,0.136016846955799,"ARL17A","51326"
"ENSG00000073969",1019.19647186602,-0.553844317272869,0.0682343427216365,-8.1167971315015,4.78647898770908e-16,2.76965556815298e-15,"NSF","4905"
"ENSG00000108379",23.2457892770731,-0.338899416510329,0.365639672966191,-0.926867190753847,0.353995493795637,0.465986565519837,"WNT3","7473"
"ENSG00000108433",381.757274712552,-0.016436080082672,0.100395174405607,-0.163713845610432,0.869956417393832,0.912621373731247,"GOSR2","9570"
"ENSG00000179673",0.13581866357583,0.785955208142751,4.0804728567969,0.192613757210411,0.847261469988086,NA,"RPRML","388394"
"ENSG00000004897",1941.89902915364,-0.539538267432054,0.058325537387589,-9.25046371791958,2.23520815593545e-20,1.57695058890267e-19,"CDC27","996"
"ENSG00000198336",0.708413048599781,-1.7332772957557,2.20071092217254,-0.787598806500495,0.430931413029543,0.546046527833325,"MYL4","4635"
"ENSG00000259207",336.522006801959,0.123234958992807,0.107966747273333,1.1414158720631,0.253696902761886,0.353766621880587,"ITGB3","3690"
"ENSG00000178852",16.18231069936,0.154883779827806,0.438075845189602,0.353554713250103,0.72367261844359,0.804429927965938,"EFCAB13","124989"
"ENSG00000141279",2134.49228735003,0.370740468211365,0.0529038105581002,7.0078216351582,2.42057106406614e-12,1.15863515239386e-11,"NPEPPS","9520"
"ENSG00000108424",6108.72711023612,-0.874751217871702,0.0430345641540773,-20.3267126103524,7.46386002260829e-92,2.88720128643572e-90,"KPNB1","3837"
"ENSG00000198933",227.211514054279,0.263042938570095,0.122413736567034,2.14880246242669,0.0316500621307968,0.0564925052299483,"TBKBP1","9755"
"ENSG00000073861",0.271637327151661,1.51960185930091,3.43002036719096,0.443029981348303,0.657744049007911,NA,"TBX21","30009"
"ENSG00000006025",54.0302995679506,-0.845307098046037,0.248983096240599,-3.39503810021381,0.000686190507588358,0.00161138873499637,"OSBPL7","114881"
"ENSG00000159111",489.104614360188,-0.1631260860511,0.0898782688371898,-1.81496693429415,0.0695289910693078,0.115318283859944,"MRPL10","124995"
"ENSG00000141294",10.8743009834985,0.70208742607908,0.560626338066663,1.25232686801738,0.210450782420614,0.303515376388591,"LRRC46","90506"
"ENSG00000141295",116.680962616487,-0.101701979738365,0.166849847921617,-0.60954193848677,0.542165283346875,0.651588676993089,"SCRN2","90507"
"ENSG00000189120",4.09535409447687,-2.91427535036354,1.10822494548888,-2.62967853433217,0.00854656423513473,0.0170468620513487,"SP6","80320"
"ENSG00000167182",264.326871661762,-0.525644955535855,0.115244122540614,-4.56114328390681,5.08758480573827e-06,1.52029247499941e-05,"SP2","6668"
"ENSG00000108439",153.210451965987,-0.622771415894371,0.148809951347232,-4.18501189104753,2.85151173858386e-05,7.84791409957962e-05,"PNPO","55163"
"ENSG00000167183",1.32746456093418,-1.63713282162738,1.73769508704778,-0.942128934949543,0.346126632043872,0.457782643712484,"PRR15L","79170"
"ENSG00000108465",423.503152779175,0.0383972300936306,0.0908855777009071,0.422478803182515,0.672675569296134,0.763429273085355,"CDK5RAP3","80279"
"ENSG00000005243",524.385887070644,-1.25914393960162,0.0998467757350312,-12.6107621436177,1.84203019468534e-36,2.24919975221811e-35,"COPZ2","51226"
"ENSG00000082641",5871.9753939901,0.142265153063779,0.0450770945351684,3.15604087909406,0.00159926444727507,0.0035663427786261,"NFE2L1","4779"
"ENSG00000108468",1374.53546102153,-0.631176666742696,0.05894151417789,-10.7085248071123,9.28292021256349e-27,8.30167949591995e-26,"CBX1","10951"
"ENSG00000002919",431.229663182034,0.175502768423772,0.0940180052207131,1.86669317235319,0.0619444477554728,0.103837269224313,"SNX11","29916"
"ENSG00000173917",639.031115641922,0.205348260646038,0.0790244019002415,2.59854242117852,0.0093620476543417,0.018567872201546,"HOXB2","3212"
"ENSG00000120093",675.861409346693,-1.36555966399165,0.0995407450055769,-13.7185999955611,7.85678472237666e-43,1.14988374616075e-41,"HOXB3","3213"
"ENSG00000182742",187.148806749364,0.0776359692360396,0.132273966118253,0.586933101912381,0.55724863709485,0.664352888974592,"HOXB4","3214"
"ENSG00000120075",644.241480854752,-0.421626802706772,0.0761360658957692,-5.53780652764462,3.0628333192557e-08,1.11264573475944e-07,"HOXB5","3215"
"ENSG00000108511",394.420946681858,0.188321184595669,0.0943767409038529,1.9954194517855,0.04599715115421,0.0795011157160486,"HOXB6","3216"
"ENSG00000260027",216.40564601946,0.535065141207605,0.127333484677546,4.20207726634185,2.64476824394534e-05,7.30542166186949e-05,"HOXB7","3217"
"ENSG00000120068",69.8334468655971,0.0603405508943928,0.213622219265848,0.282463833124496,0.777587874899373,0.845264058140357,"HOXB8","3218"
"ENSG00000170689",2.38616269921702,-2.0057433120029,1.26732798273471,-1.58265527103315,0.113500058400281,0.177651217152011,"HOXB9","3219"
"ENSG00000170703",0.207974888783441,-1.13759906922418,3.81294567170241,-0.298351764533867,0.765434699784071,NA,"TTLL6","284076"
"ENSG00000136436",927.388006291796,-0.288034913753347,0.0671094775483895,-4.2920154391853,1.77058634143092e-05,4.98946491395965e-05,"CALCOCO2","10241"
"ENSG00000159199",556.225857481809,-0.484100122234472,0.0872283803920929,-5.54980065041257,2.85995522959452e-08,1.04151272976931e-07,"ATP5MC1","516"
"ENSG00000159202",3125.92047315348,0.32284242999738,0.0452658393757565,7.13214279133169,9.88182777811034e-13,4.83687737608071e-12,"UBE2Z","65264"
"ENSG00000159210",811.35762248937,0.0113442720784293,0.0698898830852729,0.162316369374779,0.871056724718134,0.913125719208319,"SNF8","11267"
"ENSG00000159224",1.71836013476694,-0.870578756872232,1.39817663632568,-0.622652913983787,0.533512631135723,0.643814718552222,"GIP","2695"
"ENSG00000159217",1638.47283942081,0.594286202908965,0.0610071079409783,9.7412616818996,2.01042550043846e-22,1.56687736781925e-21,"IGF2BP1","10642"
"ENSG00000167080",5.66981677357592,-0.889809432067744,0.747505869437277,-1.1903711642259,0.233900541504301,0.330923123806315,"B4GALNT2","124872"
"ENSG00000167083",0.662862088559344,-0.0551414820766686,2.16039225349269,-0.0255238288266965,0.979637142021662,0.985424094096804,"GNGT2","2793"
"ENSG00000108798",6.26852525124436,-0.806212608194941,0.729981563006048,-1.10442872676808,0.269407205175565,0.371667452015116,"ABI3","51225"
"ENSG00000173868",11.0371728698308,-0.609539499833766,0.53906466313288,-1.13073540434149,0.258166475088856,0.358779586031076,"PHOSPHO1","162466"
"ENSG00000198740",194.789597857508,-0.0279715605713302,0.138540913723356,-0.201901083366499,0.839994055113972,0.8917902596362,"ZNF652","22834"
"ENSG00000167085",1159.6271271629,-0.324265865499218,0.0609139869485398,-5.32334003638865,1.01879045011652e-07,3.542929130207e-07,"PHB1","5245"
"ENSG00000281126",0.770399115127665,-0.519329794239103,2.11541417228602,-0.245497927092873,0.806070913014869,0.865816858538965,NA,NA
"ENSG00000064300",5.05764529738625,1.63483986773425,0.845931308846742,1.93259174904287,0.0532865096592933,0.0908323593984114,"NGFR","4804"
"ENSG00000182575",2.69212616026189,-0.105307758978033,1.08960196130829,-0.0966479161358976,0.923006003003538,0.947896486117075,"NXPH3","11248"
"ENSG00000121067",646.044224429804,0.184870374577531,0.0786089751558189,2.35177184553139,0.0186842313296523,0.0350073991020106,"SPOP","8405"
"ENSG00000121073",813.229231956504,0.276747062018106,0.0693233561295569,3.99211863748921,6.548559447766e-05,0.000173552722785785,"SLC35B1","10237"
"ENSG00000121104",42.0059056089855,-0.031039908749246,0.280492827926484,-0.110662040732754,0.911884348148304,0.940717979346422,"FAM117A","81558"
"ENSG00000136504",563.85289457916,-0.141642051067535,0.0812399886503552,-1.74350161072943,0.0812460331804011,0.13239761576877,"KAT7","11143"
"ENSG00000176358",0.752189667590751,1.68898314294619,2.04025766176592,0.827828354524744,0.407767714296261,0.522580919417242,"TAC4","255061"
"ENSG00000108813",0.13581866357583,0.785955208142751,4.0804728567969,0.192613757210411,0.847261469988086,NA,"DLX4","1748"
"ENSG00000064195",0.303115746334759,-0.175813779236036,3.10012819447425,-0.0567117771288977,0.954774792323822,NA,"DLX3","1747"
